English,"(for context, not to be translated)",Word Count: 1101,Divehi,
Please read the agreement and press the agree button to confirm that you accept the terms of this agreement for your existing and future contributions,,25,ޗާޓު ބޭޭނުންކުރުމަށާއި، މައުލޫމަތު ހިއްސާކުރަމުން ދިއުމަށްޓަކައި، އެއްބަސްވުމުގައިވާ ބައިތައް ފުރިހަމައަށް ކިޔުއްވުމަށްފަހު، އެއްބަސްވާކަން ހާމަކުރައްވާ.,
Point,"one location, one coordinate",1,ލޮކޭޝަން ޕޮއިންޓް,
Pond,,1,ފެންގަނޑު,
Post,title of post,1,ޕޯސްޓުގެ ނަން,
Posted by [user] on [date] in [language],info on blog post,4,ޕޯޯސްޓްލީ ފަރާތުގެ މައުލޫމާތު,?
Power Line,,2,ކަރަންޓް ވިއުގަ,
Preferred languages,,2,ބޭނުންވާ ބަސް,
primary road,major road,2,މައި މަގު,
Profile description,,2,ޕްރޮފައިލްގެ މައުލޫމާތު,
public building,government building / meeting area,2,ސަރުކާރު އިމާރާތްތައް,
Public Editing,changes are visible,2,އާއްމުކޮށް ފެންނާނެ ބަދަލުތައް,
Public GPS Traces,GPS lines uploaded and shared,3,އާާއްމު ފަރާތްތަކުން އިތުރުކުރާ ޖީޕީއެސް މައުލޫމާތު,
Query features,search,2,ހޯދާ,
Rail Features,railroad,2,ރޭލު މަގު,
Recent diary entries,showing recent posts,3,އެންމެ ފަހުން ޑައިރީއަށް އިތުރުކުރި ލިޔުން,
Redo,undo / redo,1,އަލުން ހައްދަވާ,
Reflect long,changes a selected shape,2,ދިގުމިނަށް ގެނައި ބަދަލު,
Reflect short,changes a selected shape,2,ކުރުމިނަށް ގެނައި ބަދަލު,
Reflect this feature across its long axis,,7,އެންމެ ދުރަށް ދެވޭ ހިސާބަށް މިމައުލޫމާތު އެއްކުރައްވާ,
Reflect this feature across its short axis,,7,އެންމެ ކުައިރިއަށް ދެވޭނެހެން މިމައުލޫމާތު އެއްކުރައްވާ,
Remember me,sign in feature,2,ހަނދާން އެބަހުރި,
reply,make a reply,1,ޖަވާބު,
Residential Area,,2,މީހުން ދިރިއުޅޭ ސަރަޙައްދު,
Residential Building,,2,މީީހުން ދިރިއުޅޭ ޢިމާރާތްތައް,
Residential Road,,2,މީހުުން ދިރިއުޅޭ މަގުތައް,
Rest of the world,"Country A, Country B, or [rest of the world]",3,އެހެން ޤައުމުތައް,
Restaurant,,1,ރެސްޓޯރަންޓް,
Retail Area,,2,ވިޔަފާރި ސަރަޙައްދު,
Reverse,changes direction of line (eg one-way road),1,ދާދިމާ ބަދަލުކުރުމަށް,
"Review your changes and upload them to OpenStreetMap, making them visible to other users.",,14,ގެެނައި ބަދަލުތައް ބެލުމަށްފަހު، އެހެން ފަރާތްތަކަށް އޯޕަން ސްޓްރީޓް މެޕަށް އަޕްލޯޑްކުރައްވާ,
Right Side,,2,ކަނާތް ފަރާތް,
Road Features,different types of roads,2,ތަފާތު މަގުތައް,
Rotate,,1,އަނބުރާލާ,
Rotate this feature around its center point,,7,މެދު ޕޮއިންޓާ ދިމާވާނެހެން އަނބުރާލާ,
airport runway,,2,އެއާރޕޯޓް ރަންވޭ,
Save,button saves changes,1,ސޭވްކުރައްވާ,
save changes,button saves changes,2,ގެނައި ބަދަލުތައް ސޭވްކުރައްވާ,
Scale,"map scale, 1:1000, zoom level",1,ސްކޭލް,
School Grounds,,2,ސްކޫލު ބިން,
Search,search button,1,ހޯދާ,
Search features,,2,ފާހަގަކުރެވޭ ތަންތަން ހޯދާ,
Search worldwide...,"search everything, not just local view",2,މުޅި ދުނިޔެއިން ބެލުމަށް ހޯދާ,
Select feature type,"what kind of feature is this? road, path, building, etc",3,ކަޮންކަހަލަ މައުލޫމާތެއްކަން ފާހަގަކުރޭ,
Send Message,,2,މެސެޖެއް ފޮނުވާ,
service road,"smaller road for work vehicles (for example, airport roads)",2,ޚިދުމަތްދޭ މަގުތައް,
Set custom dimensions,,3,އަމިއްލަ މިންތަކެއް ކަނޑައަޅުއްވާ,
Set your home location on the settings page to see nearby users.,,12,ޗާޓު ބޭނުންކުރަމުންދާ މީހުންގެ ތެރެއިން ކައިރީގައި ތިބި މީހުން ބެލުމަށް ލޮކޭޝަން ފާހަގަކުރައްވާ,?
Share,social media share,1,ސޯޝަލް މީޑިއާ ޙިއްސާކުރައްވާ,
Shop,map marker for a shop,1,ފިހާރަ,
Short Link,social media short link,2,ސޯޯޝަލް މީޑިޔާގެ ލިންކު,
Shortcut,keyboard shortcut / hotkey,1,ޝޯރޓްކަޓް,
Show My Location,,3,ލޮކޭޝަން ދައްކާ,
Sign Up,,2,ސައިން އަޕް,
Sign up to get started contributing. We'll send an email to confirm your account.,,14,ޗާޓް ބޭނުންކުރުމަށް އެކައުންޓް ހައްދަވާ، އެކައުންޓް ޔަޤީންކުރުމަށް އީމެއިލެއް ފޮނުވާނެ,
smoking allowed,restaurant,2,ދުންފަތުގެ އިސްތިޢުމާލުކުރުން ހުއްދަ,
Someone just created an account at [website],,6,އިތުރު މީހަކު އެކައުންޓެެއް ހަދައިފި,
Source,authoritative source of your map data,1,ޗާޓަށް މައުލޫމާތު ދިން ފަރާތް,
Speed Limit,,2,ދުުއްވޭ އެންމެ ބާރު ސްޕީޑު,
Split,,1,ބައިކޮށްލާ,
Split this line into two at this node,,8,މިރޮނގު ދެބަޔަށް ބައިކޮށްލާ,
sports,which sports are played at this stadium,1,ކުޅިވަރު ސްޓޭޑިއަމް,
Sports Center,,2,ކުުޅިވަރު މަރުކަޒު,
Spotted a mistake or something missing? Let other mappers know so we can fix it.,,15,ބަައެއް މައުލޫމާތު މަދުކަމަށް ފާހަގަކުރެވިއްޖެ ނަމަ އެކަން ރަނަގޅުކޮށްދެވޭނެ ކަން ޗާޓު ހަދާ ފަރާތްތަކަށް އަންގާލާ ,
Square the corners of this area,change a lopsided shape into more square (90-degree angles),6,މިސަރަޙައްދުގެ ކަންތައް ހަތަރެސްކަން ކުރައްވާ,
stadium,,1,ސްޓޭޑިއަމް,
